ID,Event,File Name,File Format,File Size (Bytes),File Size (MB),Date Taken,Date Modified,Software,Latitude,DMS,Longitude,DMS,Camera,Exposure Time,Flash Used?,Lens Model
1,CaliforniaTrips,IMG_1816.jpg,image/jpeg,1715279,1.72,2018:01:05 16:24:09,,Photos 3.0,N,"[37, 47, 1031/100]",W,"[122, 24, 73/25]",iPhone 7,1/15,"Flash did not fire, compulsory flash mode",iPhone 7 back camera 3.99mm f/1.8
2,CaliforniaTrips,IMG_2274.jpg,image/jpeg,2411614,2.41,2014:11:23 17:05:29,,Photos 3.0,N,"[38, 16, 597/10]",W,"[122, 26, 2163/50]",iPhone 4,1/359,"Flash did not fire, compulsory flash mode",iPhone 4 back camera 3.85mm f/2.8
3,CaliforniaTrips,IMG_2281.jpg,image/jpeg,1827034,1.83,2014:11:24 13:45:55,,Photos 3.0,N,"[38, 1, 3467/100]",W,"[122, 52, 5939/100]",iPhone 4,1/2011,"Flash did not fire, compulsory flash mode",iPhone 4 back camera 3.85mm f/2.8
4,CaliforniaTrips,IMG_2309.jpg,image/jpeg,1666424,1.67,2014:11:26 14:46:15,,Photos 3.0,N,"[37, 48, 1593/50]",W,"[122, 28, 673/50]",iPhone 4,1/1436,"Flash did not fire, compulsory flash mode",iPhone 4 back camera 3.85mm f/2.8
5,CaliforniaTrips,IMG_2350.jpg,image/jpeg,545576,0.55,2014:11:28 16:15:52,,Photos 3.0,N,"[38, 26, 1063/20]",W,"[123, 7, 1761/50]",iPhone 4,1/192,"Flash did not fire, auto mode",iPhone 4 back camera 3.85mm f/2.8
6,CaliforniaTrips,IMG_3860.jpg,image/jpeg,1420105,1.42,2016:11:20 17:06:39,,Photos 3.0,N,"[34, 3, 4661/100]",W,"[118, 21, 1627/50]",iPhone 6,1/24,"Flash did not fire, auto mode",iPhone 6 back camera 4.15mm f/2.2
7,CaliforniaTrips,IMG_3937.jpg,image/jpeg,1458088,1.46,2016:11:23 11:44:42,,Photos 3.0,N,"[34, 24, 2927/50]",W,"[119, 40, 919/100]",iPhone 6,1/9901,"Flash did not fire, auto mode",iPhone 6 back camera 4.15mm f/2.2
8,CaliforniaTrips,IMG_3955.jpg,image/jpeg,1147410,1.15,2016:11:23 15:01:58,,Photos 3.0,N,"[34, 39, 99/20]",W,"[120, 4, 5493/100]",iPhone 6,1/1199,"Flash did not fire, auto mode",iPhone 6 back camera 4.15mm f/2.2
9,CaliforniaTrips,IMG_5317.jpg,image/jpeg,1243018,1.24,2018:01:06 14:13:35,,Photos 3.0,N,"[38, 36, 1299/25]",W,"[122, 52, 233/20]",iPhone 6,1/30,"Flash did not fire, compulsory flash mode",iPhone 6 back camera 4.15mm f/2.2
10,CaliforniaTrips,IMG_5341.jpg,image/jpeg,617209,0.62,2018:01:07 15:24:05,,Photos 3.0,N,"[38, 23, 2453/50]",W,"[123, 5, 1149/25]",iPhone 6,1/775,"Flash did not fire, compulsory flash mode",iPhone 6 back camera 4.15mm f/2.2
11,CaliforniaTrips,IMG_5363.jpg,image/jpeg,1822623,1.82,2018:01:09 14:28:23,,Photos 3.0,N,"[38, 17, 3173/100]",W,"[122, 27, 858/25]",iPhone 6,1/30,"Flash did not fire, compulsory flash mode",iPhone 6 back camera 4.15mm f/2.2
